,precision,recall,f1-score,support
Backdoor,1.0,0.9599594526102382,0.9795707266614947,1973.0
DDoS_HTTP,0.27655942219304,0.9971590909090909,0.433021486583736,2112.0
DDoS_ICMP,1.0,0.9992363497518136,0.9996180290297937,2619.0
DDoS_TCP,1.0,1.0,1.0,2049.0
DDoS_UDP,1.0,1.0,1.0,2900.0
Fingerprinting,0.4696132596685083,0.9941520467836257,0.6378986866791745,171.0
MITM,1.0,1.0,1.0,72.0
Normal,1.0,1.0,1.0,4831.0
Password,0.995475113122172,0.11022044088176353,0.1984663960306721,1996.0
Port_Scanning,0.999439461883408,0.999439461883408,0.999439461883408,1784.0
Ransomware,0.99945295404814,0.9427244582043344,0.9702602230483272,1938.0
SQL_injection,0.9735099337748344,0.07146329606222654,0.1331521739130435,2057.0
Uploading,0.9752270850536746,0.5769418661455789,0.7249846531614488,2047.0
Vulnerability_scanner,0.9426485922836287,0.8986083499005965,0.9201017811704835,2012.0
XSS,0.8546168958742633,0.45549738219895286,0.5942622950819673,1910.0
accuracy,0.8032227363722884,0.8032227363722884,0.8032227363722884,0.8032227363722884
macro avg,0.8991028478601114,0.8003601463554421,0.7727183942162366,30471.0
weighted avg,0.9301641735908365,0.8032227363722884,0.7951836608462544,30471.0
